Date : 2023-11-12 00:43:41
Directory : d:\ROBLOX STUDIO\Rojo\UTP\src
Total : 476 files,  26301 codes, 1194 comments, 4660 blanks, all 32155 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Blue.lua                                                                                         | Lua        |         37 |          1 |         14 |         52 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Clones.lua                                                                                       | Lua        |         62 |          1 |         18 |         81 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Kamehameha.lua                                                                                   | Lua        |         39 |          0 |         16 |         55 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Purple.lua                                                                                       | Lua        |         30 |          0 |         15 |         45 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Rasengan.lua                                                                                     | Lua        |         20 |          0 |         11 |         31 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Red.lua                                                                                          | Lua        |         29 |          0 |         15 |         44 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Wind_Smash.lua                                                                                   | Lua        |         82 |          7 |         37 |        126 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\FirstDropper\ScriptDropper.server.lua                                                       | Lua        |          9 |          8 |          3 |         20 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\FirstDropper\init.meta.json                                                                 | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\FourDropper\ScriptDropper.server.lua                                                        | Lua        |         10 |          5 |          4 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\FourDropper\init.meta.json                                                                  | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\Button\Script.server.lua                                                      | Lua        |         16 |          0 |          5 |         21 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\Button\init.meta.json                                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\Lasers\LaserOwnerDoor.server.lua                                              | Lua        |         17 |          0 |         11 |         28 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\Lasers\init.meta.json                                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\init.meta.json                                                                | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\SecondDropper\ScriptDropper.server.lua                                                      | Lua        |         10 |          5 |          4 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\SecondDropper\init.meta.json                                                                | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\UpgradePet\Button\ButtonUpgradePetScript.server.lua                                         | Lua        |          6 |          2 |          3 |         11 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\UpgradePet\Button\init.meta.json                                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\UpgradePet\UpdateValue .server.lua                                                          | Lua        |         20 |          0 |         17 |         37 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\UpgradePet\init.meta.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\init.meta.json                                                                              | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\thirdDropper\ScriptDropper.server.lua                                                       | Lua        |         10 |          5 |          4 |         19 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Boughtitems\thirdDropper\init.meta.json                                                                 | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                      | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\Frame\init.meta.json                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\init.meta.json                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\init.meta.json                                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\BackWallsTButton\init.meta.json                                                                 | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\Frame\init.meta.json                             | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\init.meta.json                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\init.meta.json                                                | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\init.meta.json                                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                    | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                       | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\Frame\init.meta.json                                 | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\init.meta.json                                       | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\init.meta.json                                                    | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstButtonDropper\init.meta.json                                                               | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                        | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\Frame\init.meta.json                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\init.meta.json                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\init.meta.json                                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FirstEggButton\init.meta.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                          | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                             | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\Frame\init.meta.json                                       | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\init.meta.json                                             | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\init.meta.json                                                          | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FloorTButton\init.meta.json                                                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                            | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                               | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui\Frame\init.meta.json                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui\init.meta.json                                               | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\init.meta.json                                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FourButton\init.meta.json                                                                       | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                     | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\BillboardGui\Frame\init.meta.json                                  | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\BillboardGui\init.meta.json                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FrontWallsTButton\ButtonPart\init.meta.json                                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\FrontWallsTButton\init.meta.json                                                                | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                       | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                          | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\Frame\init.meta.json                                    | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\BillboardGui\init.meta.json                                          | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\OwnerDoorButton\ButtonPart\init.meta.json                                                       | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\OwnerDoorButton\init.meta.json                                                                  | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                   | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\Frame\init.meta.json                                | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\BillboardGui\init.meta.json                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondButtonDropper\ButtonPart\init.meta.json                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondButtonDropper\init.meta.json                                                              | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                       | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                          | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\Frame\init.meta.json                                    | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\BillboardGui\init.meta.json                                          | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondEggButton\ButtonPart\init.meta.json                                                       | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\SecondEggButton\init.meta.json                                                                  | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                         | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                            | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\Frame\init.meta.json                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\BillboardGui\init.meta.json                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\StairsTButton\ButtonPart\init.meta.json                                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\StairsTButton\init.meta.json                                                                    | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                           | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                              | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\Frame\init.meta.json                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\BillboardGui\init.meta.json                                              | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ThirdButton\ButtonPart\init.meta.json                                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\ThirdButton\init.meta.json                                                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                        | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\Frame\init.meta.json                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\BillboardGui\init.meta.json                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpWallsTButton\ButtonPart\init.meta.json                                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpWallsTButton\init.meta.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                      | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\Frame\init.meta.json                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\BillboardGui\init.meta.json                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgradePetButton\ButtonPart\init.meta.json                                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgradePetButton\init.meta.json                                                                 | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                        | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\Frame\init.meta.json                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\BillboardGui\init.meta.json                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgraderButton\ButtonPart\init.meta.json                                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\UpgraderButton\init.meta.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\Frame\TextLabel\Script.server.lua                        | Lua        |          6 |          0 |          4 |         10 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\Frame\TextLabel\init.meta.json                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\Frame\init.meta.json                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\BillboardGui\init.meta.json                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\WindowsTButton\ButtonPart\init.meta.json                                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\WindowsTButton\init.meta.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Buttons\init.meta.json                                                                                  | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\CollectorPart\CollectScript.server.lua                                           | Lua        |         10 |          0 |          4 |         14 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\CollectorPart\init.meta.json                                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart1\Script.server.lua                                                  | Lua        |          4 |          0 |          2 |          6 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart1\init.meta.json                                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart2\Script.server.lua                                                  | Lua        |          4 |          0 |          2 |          6 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart2\init.meta.json                                                     | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\ConveyorBelt\init.meta.json                                                                   | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\OwnerDoor\MainDoor\OwnerScript.server.lua                                                     | Lua        |         18 |          2 |         10 |         30 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\OwnerDoor\MainDoor\init.meta.json                                                             | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\OwnerDoor\init.meta.json                                                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\MainItems\init.meta.json                                                                                | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Scripts\BuildItems.server.lua                                                                           | Lua        |         36 |          0 |         30 |         66 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Scripts\ButtonCashScript.server.lua                                                                     | Lua        |         41 |          0 |         18 |         59 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Scripts\ButtonTycoon.server.lua                                                                         | Lua        |         71 |          1 |         10 |         82 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Scripts\TycoonServiceClient.server.lua                                                                  | Lua        |         28 |          4 |         13 |         45 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Scripts\UpgraderSum.server.lua                                                                          | Lua        |         28 |          2 |         14 |         44 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\Scripts\init.meta.json                                                                                  | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\TycoonModel\init.meta.json                                                                                          | JSON       |          3 |          0 |          0 |          3 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\StarterGui\GuiTeste\Frame1\Animator\.source.lua                                                                                   | Lua        |         28 |          1 |         12 |         41 |
| d:\ROBLOX STUDIO\Rojo\UTP\src\StarterGui\GuiTeste\Frame1\Animator\Tweens\CloseGui.lua                                                                           | Lua        |         37 |          0 |          1 |         38 |
